date,device,failure,metric1,metric2,metric3,metric4,metric5,metric6,metric7,metric8,metric9,id,Health Score
0.0,S1F01085,0,215630672.0,55.0,0.0,52.0,6.0,407438.0,0.0,0.0,7.0,1,80
0.0,S1F0166B,0,61370680.0,0.0,3.0,0.0,6.0,403174.0,0.0,0.0,0.0,2,85
0.0,S1F01E6Y,0,173295968.0,0.0,0.0,0.0,12.0,237394.0,0.0,0.0,0.0,3,100
0.0,S1F01JE0,0,79694024.0,0.0,0.0,0.0,6.0,410186.0,0.0,0.0,0.0,4,85
0.0,S1F01R2B,0,135970480.0,0.0,0.0,0.0,15.0,313173.0,0.0,0.0,3.0,5,85
0.0,S1F01TD5,0,68837488.0,0.0,0.0,41.0,6.0,413535.0,0.0,0.0,1.0,6,80
0.0,S1F01XDJ,0,227721632.0,0.0,0.0,0.0,8.0,402525.0,0.0,0.0,0.0,7,85
0.0,S1F023H2,0,141503600.0,0.0,0.0,1.0,19.0,494462.0,16.0,16.0,3.0,8,75
0.0,S1F02A0J,0,8217840.0,0.0,1.0,0.0,14.0,311869.0,0.0,0.0,0.0,9,85
0.0,S1F02DZ2,0,116440096.0,0.0,378.0,9.0,9.0,407905.0,0.0,0.0,170.0,10,75
0.0,S1F02EVN,0,112348104.0,0.0,0.0,0.0,7.0,388146.0,0.0,0.0,1.0,11,85
0.0,S1F02L38,0,223938928.0,0.0,0.0,0.0,2.0,215169.0,0.0,0.0,8.0,12,100
0.0,S1F02MGA,0,44399688.0,0.0,266.0,1.0,6.0,399286.0,0.0,0.0,2269.0,13,65
0.0,S1F02P76,0,104131304.0,1536.0,0.0,175.0,11.0,301679.0,0.0,0.0,0.0,14,80
0.0,S1F02VAX,0,61019512.0,168.0,2.0,521.0,3.0,380496.0,0.0,0.0,3.0,15,80
0.0,S1F02WFT,0,44348552.0,6150.0,14.0,1074.0,11.0,249515.0,0.0,0.0,21.0,16,95
0.0,S1F0318A,0,35018688.0,0.0,0.0,0.0,9.0,394890.0,0.0,0.0,5.0,17,85
0.0,S1F0322R,0,34540712.0,0.0,0.0,0.0,9.0,411399.0,0.0,0.0,0.0,18,85
0.0,S1F0330P,0,125539768.0,0.0,0.0,12.0,14.0,297284.0,0.0,0.0,5.0,19,100
0.0,S1F035SJ,0,220392160.0,0.0,0.0,0.0,9.0,389730.0,0.0,0.0,0.0,20,85
0.0,S1F0377V,0,166567552.0,0.0,0.0,23.0,14.0,321308.0,0.0,0.0,8.0,21,80
0.0,S1F039FE,0,218786520.0,0.0,0.0,6.0,4.0,394782.0,0.0,0.0,2.0,22,85
0.0,S1F03RV3,0,176851840.0,0.0,0.0,0.0,8.0,258058.0,0.0,0.0,0.0,23,100
0.0,S1F03YZM,0,55587136.0,0.0,0.0,0.0,7.0,199132.0,0.0,0.0,0.0,24,100
0.0,S1F044ET,0,161730848.0,0.0,0.0,0.0,5.0,226578.0,0.0,0.0,0.0,25,100
0.0,S1F049RX,0,181980928.0,0.0,0.0,4.0,7.0,395719.0,0.0,0.0,0.0,26,85
0.0,S1F04DH8,0,134506192.0,0.0,9.0,0.0,16.0,324354.0,0.0,0.0,145.0,27,75
0.0,S1F04KSC,0,105234552.0,392.0,24929.0,529.0,3.0,339205.0,0.0,0.0,10137.0,28,60
0.0,S1F04MVQ,0,41356960.0,1984.0,0.0,46.0,4.0,367145.0,0.0,0.0,65.0,29,80
0.0,S1F04R7Y,0,126680112.0,0.0,0.0,0.0,7.0,398672.0,0.0,0.0,51.0,30,85
0.0,S1F04TS4,0,11041528.0,0.0,0.0,8.0,6.0,385366.0,0.0,0.0,1.0,31,85
0.0,S1F04Y6C,0,121664216.0,0.0,0.0,7.0,3.0,388821.0,0.0,0.0,0.0,32,85
0.0,S1F059G0,0,131625384.0,0.0,14.0,0.0,3.0,399158.0,0.0,0.0,255.0,33,85
0.0,S1F05AFP,0,182270456.0,0.0,0.0,2.0,3.0,378044.0,0.0,0.0,0.0,34,85
0.0,S1F05B1Q,0,163784840.0,0.0,0.0,7.0,4.0,387410.0,0.0,0.0,57.0,35,85
0.0,S1F05NAJ,0,133978568.0,192.0,0.0,0.0,4.0,336806.0,0.0,0.0,1.0,36,85
0.0,S1F05P51,0,188415568.0,496.0,0.0,0.0,5.0,331171.0,0.0,0.0,0.0,37,85
0.0,S1F05P5Z,0,212782472.0,928.0,0.0,3.0,4.0,331390.0,0.0,0.0,0.0,38,85
0.0,S1F06E04,0,67826320.0,1952.0,0.0,12.0,5.0,375985.0,0.0,0.0,0.0,39,85
0.0,S1F06F7K,0,124661944.0,128.0,0.0,0.0,4.0,383073.0,0.0,0.0,1.0,40,85
0.0,S1F06R6W,0,107727520.0,0.0,0.0,0.0,2.0,397732.0,0.0,0.0,3.0,41,85
0.0,S1F06ZX2,0,118304768.0,0.0,0.0,0.0,9.0,403791.0,0.0,0.0,0.0,42,85
0.0,S1F08R94,0,193299520.0,0.0,1.0,0.0,4.0,325723.0,0.0,0.0,0.0,43,85
0.0,S1F08S38,0,36835520.0,744.0,3.0,2.0,4.0,333898.0,0.0,0.0,6.0,44,85
0.0,S1F09DZQ,0,12568128.0,136.0,0.0,2.0,6.0,380112.0,0.0,0.0,2.0,45,85
0.0,S1F09MAK,0,9461552.0,7928.0,0.0,7.0,3.0,306534.0,0.0,0.0,4.0,46,85
0.0,S1F09MSM,0,150282408.0,360.0,0.0,0.0,3.0,338226.0,0.0,0.0,2.0,47,85
0.0,S1F0A1PX,0,32240224.0,0.0,0.0,0.0,4.0,330480.0,0.0,0.0,0.0,48,85
0.0,S1F0A1VP,0,214406240.0,8.0,1.0,8.0,4.0,337452.0,0.0,0.0,1.0,49,85
0.0,S1F0AADQ,0,204365424.0,0.0,0.0,0.0,7.0,380594.0,0.0,0.0,1.0,50,85
0.0,S1F0AEFT,0,201740416.0,0.0,0.0,0.0,9.0,392707.0,0.0,0.0,0.0,51,85
0.0,S1F0B3XA,0,138051992.0,464.0,0.0,3.0,4.0,342303.0,0.0,0.0,0.0,52,85
0.0,S1F0B5QJ,0,190272496.0,21528.0,0.0,331.0,4.0,257578.0,8.0,8.0,0.0,53,95
0.0,S1F0BN0S,0,164954392.0,1392.0,0.0,0.0,4.0,315843.0,0.0,0.0,0.0,54,85
0.0,S1F0BQZK,0,16350056.0,128.0,3.0,6.0,4.0,331917.0,48.0,48.0,5.0,55,85
0.0,S1F0BVK1,0,128177168.0,0.0,0.0,0.0,5.0,235659.0,0.0,0.0,0.0,56,100
0.0,S1F0BWZ3,0,77946232.0,0.0,0.0,0.0,7.0,354416.0,0.0,0.0,2.0,57,85
0.0,S1F0C95J,0,145431032.0,0.0,0.0,0.0,5.0,228392.0,0.0,0.0,0.0,58,100
0.0,S1F0CE60,0,116599776.0,0.0,0.0,0.0,6.0,213752.0,0.0,0.0,0.0,59,100
0.0,S1F0CSBR,0,117542136.0,352.0,0.0,1.0,4.0,303625.0,0.0,0.0,0.0,60,85
0.0,S1F0CSRZ,0,8337728.0,7448.0,382.0,7.0,4.0,332141.0,0.0,0.0,1864.0,61,65
0.0,S1F0CT09,0,59979360.0,104.0,0.0,0.0,4.0,333880.0,0.0,0.0,0.0,62,85
0.0,S1F0CT4F,0,4308592.0,0.0,0.0,0.0,4.0,350244.0,0.0,0.0,0.0,63,85
0.0,S1F0CTDN,0,50147888.0,528.0,0.0,4.0,9.0,381198.0,32.0,32.0,3.0,64,85
0.0,S1F0CTDY,0,40804784.0,192.0,0.0,0.0,4.0,337518.0,0.0,0.0,0.0,65,85
0.0,S1F0CTRL,0,68179312.0,800.0,0.0,0.0,4.0,341208.0,0.0,0.0,1.0,66,85
0.0,S1F0CVDS,0,31652376.0,0.0,0.0,0.0,4.0,345198.0,312.0,312.0,0.0,67,85
0.0,S1F0CVRM,0,3131464.0,520.0,0.0,3.0,4.0,333128.0,0.0,0.0,0.0,68,85
0.0,S1F0CVWK,0,214520784.0,1888.0,0.0,6.0,7.0,350191.0,0.0,0.0,0.0,69,85
0.0,S1F0CVY5,0,149416256.0,1232.0,1326.0,4.0,5.0,315962.0,0.0,0.0,898.0,70,65
0.0,S1F0CWHW,0,181849512.0,368.0,0.0,0.0,4.0,320211.0,0.0,0.0,9.0,71,85
0.0,S1F0CWKN,0,127130528.0,0.0,0.0,0.0,4.0,338123.0,0.0,0.0,0.0,72,85
0.0,S1F0CWXJ,0,126520680.0,6336.0,0.0,1.0,4.0,286446.0,0.0,0.0,0.0,73,100
0.0,S1F0DKAN,0,229757712.0,0.0,0.0,0.0,6.0,257378.0,0.0,0.0,0.0,74,100
0.0,S1F0DSTY,0,8471680.0,0.0,0.0,0.0,11.0,436682.0,0.0,0.0,0.0,75,85
0.0,S1F0E9EP,0,106791400.0,0.0,0.0,0.0,8.0,196552.0,0.0,0.0,0.0,76,100
0.0,S1F0EEP2,0,134846800.0,0.0,0.0,0.0,13.0,241377.0,0.0,0.0,0.0,77,100
0.0,S1F0EGMT,0,84554144.0,0.0,0.0,0.0,9.0,196324.0,0.0,0.0,0.0,78,100
0.0,S1F0EGSH,0,40237712.0,0.0,0.0,0.0,11.0,217110.0,0.0,0.0,0.0,79,100
0.0,S1F0F4EB,0,239412320.0,0.0,0.0,0.0,9.0,200197.0,0.0,0.0,2.0,80,100
0.0,S1F0F4G4,0,211877800.0,0.0,0.0,0.0,10.0,285843.0,0.0,0.0,2.0,81,100
0.0,S1F0FGBQ,0,22235264.0,0.0,0.0,0.0,9.0,170595.0,0.0,0.0,0.0,82,100
0.0,S1F0FP0C,0,170455152.0,0.0,0.0,0.0,9.0,199551.0,0.0,0.0,0.0,83,100
