cctv_event_id,facility_id,floor,zone,camera_id,event_type,confidence,timestamp
1,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,motion_detected,0.58,2025-12-05 14:31:00
2,1,2,Common Area,CAM-F2-CommonArea,loitering,0.86,2025-12-26 16:15:00
3,1,2,Office F,CAM-F2-OfficeF,motion_detected,0.95,2025-12-12 14:02:00
4,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,motion_detected,0.66,2025-12-02 08:30:00
5,1,1,Cafeteria,CAM-F1-Cafeteria,camera_offline,0.96,2025-12-14 11:59:00
6,1,2,Meeting Room 2,CAM-F2-MeetingRoom2,motion_detected,0.72,2025-12-19 14:51:00
7,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.97,2025-12-04 16:05:00
8,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,tailgating,0.73,2025-12-16 07:53:00
9,1,1,Office A,CAM-F1-OfficeA,object_left_unattended,0.62,2025-12-15 08:57:00
10,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,camera_offline,0.84,2025-12-30 17:15:00
11,1,3,Common Area,CAM-F3-CommonArea,motion_detected,0.73,2025-12-01 11:18:00
12,1,3,Storage,CAM-F3-Storage,loitering,0.7,2025-12-12 06:37:00
13,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,motion_detected,0.55,2025-12-14 12:27:00
14,1,3,Office G,CAM-F3-OfficeG,object_left_unattended,0.85,2025-12-16 16:51:00
15,1,1,Cafeteria,CAM-F1-Cafeteria,tailgating,0.85,2025-12-08 21:16:00
16,1,2,Common Area,CAM-F2-CommonArea,motion_detected,0.88,2025-12-02 09:44:00
17,1,1,Lobby,CAM-F1-Lobby,loitering,0.61,2025-12-13 20:53:00
18,1,2,Common Area,CAM-F2-CommonArea,crowd_detected,0.97,2025-12-29 07:11:00
19,1,1,Conference Room,CAM-F1-ConferenceRoom,motion_detected,0.56,2025-12-05 12:43:00
20,1,1,Office D,CAM-F1-OfficeD,object_left_unattended,0.83,2025-12-15 07:27:00
21,1,2,Storage,CAM-F2-Storage,loitering,0.57,2025-12-01 09:02:00
22,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.56,2025-12-28 11:39:00
23,1,2,Common Area,CAM-F2-CommonArea,loitering,0.58,2025-12-20 20:46:00
24,1,3,Common Area,CAM-F3-CommonArea,tailgating,0.81,2025-12-07 20:14:00
25,1,3,Common Area,CAM-F3-CommonArea,object_left_unattended,0.62,2025-12-28 18:38:00
26,1,2,Mobile Zone,CAM-F2-MobileZone,tailgating,0.56,2025-12-26 06:14:00
27,1,1,Office C,CAM-F1-OfficeC,motion_detected,0.93,2025-12-06 13:02:00
28,1,3,Office I,CAM-F3-OfficeI,crowd_detected,0.84,2025-12-05 15:14:00
29,1,2,Storage,CAM-F2-Storage,motion_detected,0.68,2025-12-24 07:20:00
30,1,3,Office I,CAM-F3-OfficeI,loitering,0.62,2025-12-11 14:50:00
31,1,3,Office I,CAM-F3-OfficeI,motion_detected,0.62,2025-12-30 13:12:00
32,1,3,Storage,CAM-F3-Storage,loitering,0.74,2025-12-22 08:10:00
33,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.73,2025-12-18 11:16:00
34,1,2,Common Area,CAM-F2-CommonArea,loitering,0.92,2025-12-12 03:00:00
35,1,2,Common Area,CAM-F2-CommonArea,tailgating,0.62,2025-12-27 06:28:00
36,1,3,Common Area,CAM-F3-CommonArea,crowd_detected,0.71,2025-12-09 12:11:00
37,1,1,Cafeteria,CAM-F1-Cafeteria,loitering,0.79,2025-12-15 14:31:00
38,1,3,Office I,CAM-F3-OfficeI,motion_detected,0.86,2025-12-09 07:51:00
39,1,3,Project Room,CAM-F3-ProjectRoom,motion_detected,0.75,2025-12-09 14:29:00
40,1,1,Office B,CAM-F1-OfficeB,motion_detected,0.77,2025-12-14 16:32:00
41,1,2,Storage,CAM-F2-Storage,loitering,0.61,2025-12-30 19:38:00
42,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,motion_detected,0.86,2025-12-29 18:04:00
43,1,2,Mobile Zone,CAM-F2-MobileZone,motion_detected,0.7,2025-12-09 07:00:00
44,1,3,Office G,CAM-F3-OfficeG,tailgating,0.72,2025-12-03 07:21:00
45,1,3,Storage,CAM-F3-Storage,tailgating,0.98,2025-12-13 03:30:00
46,1,3,Meeting Room 3,CAM-F3-MeetingRoom3,motion_detected,0.76,2025-12-27 08:09:00
47,1,3,Office H,CAM-F3-OfficeH,crowd_detected,0.89,2025-12-07 09:48:00
48,1,1,Storage,CAM-F1-Storage,loitering,0.92,2025-12-05 11:05:00
49,1,1,Office A,CAM-F1-OfficeA,loitering,0.74,2025-12-03 22:33:00
50,1,3,Storage,CAM-F3-Storage,loitering,0.76,2025-12-04 17:25:00
51,1,1,Office D,CAM-F1-OfficeD,motion_detected,0.84,2025-12-12 14:29:00
52,1,1,Office B,CAM-F1-OfficeB,object_left_unattended,0.65,2025-12-16 07:18:00
53,1,2,Common Area,CAM-F2-CommonArea,loitering,0.75,2025-12-18 16:24:00
54,1,1,Meeting Room 1,CAM-F1-MeetingRoom1,crowd_detected,0.84,2025-12-21 13:05:00
55,1,2,Office F,CAM-F2-OfficeF,motion_detected,0.96,2025-12-03 20:36:00
