event_id,facility_id,floor,zone,event_type,severity,source,description,timestamp
1,1,3,Break Area,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F3-BreakArea detected loitering (confidence 0.97),2025-12-01 02:40:00
2,1,2,Storage,CCTV_LOITERING,HIGH,CCTV,Camera CAM-F2-Storage detected loitering (confidence 0.73),2025-12-01 05:28:00
3,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0080 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-01 06:45:00
4,1,2,Meeting Room 2,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0031 denied entry at Meeting Room 2 (door DOOR-F2-MeetingRoom2),2025-12-01 08:24:00
5,1,2,Storage,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F2-Storage detected loitering (confidence 0.57),2025-12-01 09:02:00
6,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0034 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-01 09:40:00
7,1,2,Mobile Zone,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0061 denied entry at Mobile Zone (door DOOR-F2-MobileZone),2025-12-01 10:24:00
8,1,3,Storage,CCTV_MOTION_DETECTED,MEDIUM,CCTV,Camera CAM-F3-Storage detected motion detected (confidence 0.72),2025-12-01 10:50:00
9,1,2,Storage,UNAUTHORIZED_ACCESS_RESTRICTED_AREA,HIGH,ACCESS_CONTROL,Badge BADGE-0062 denied entry at Storage (door DOOR-F2-Storage),2025-12-01 10:56:00
10,1,1,Lobby,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0023 denied entry at Lobby (door DOOR-F1-Lobby),2025-12-01 11:17:00
11,1,2,Office F,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0038 denied entry at Office F (door DOOR-F2-OfficeF),2025-12-01 11:27:00
12,1,3,Break Area,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0035 denied entry at Break Area (door DOOR-F3-BreakArea),2025-12-01 11:29:00
13,1,1,Office B,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0026 denied entry at Office B (door DOOR-F1-OfficeB),2025-12-01 11:43:00
14,1,3,Office I,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0042 denied entry at Office I (door DOOR-F3-OfficeI),2025-12-01 11:56:00
15,1,1,Meeting Room 1,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0073 denied entry at Meeting Room 1 (door DOOR-F1-MeetingRoom1),2025-12-01 12:07:00
16,1,3,Office H,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0007 denied entry at Office H (door DOOR-F3-OfficeH),2025-12-01 12:15:00
17,1,1,Office B,CCTV_LOITERING,MEDIUM,CCTV,Camera CAM-F1-OfficeB detected loitering (confidence 0.91),2025-12-01 12:33:00
18,1,3,Project Room,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0083 denied entry at Project Room (door DOOR-F3-ProjectRoom),2025-12-01 12:40:00
19,1,2,Office E,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0003 denied entry at Office E (door DOOR-F2-OfficeE),2025-12-01 13:08:00
20,1,1,Cafeteria,DOOR_ACCESS_DENIED,LOW,ACCESS_CONTROL,Badge BADGE-0008 denied entry at Cafeteria (door DOOR-F1-Cafeteria),2025-12-01 14:22:00
21,1,1,Conference Room,CCTV_CAMERA_OFFLINE,MEDIUM,CCTV,Camera CAM-F1-ConferenceRoom detected camera offline (confidence 0.72),2025-12-01 14:27:00
