movement_id,visitor_id,facility_id,sequence,floor,zone,timestamp
1,VIS-0001,1,1,1,Lobby,2025-12-10 10:20:00
2,VIS-0001,1,2,3,Common Area,2025-12-10 11:06:20
3,VIS-0001,1,3,3,Storage,2025-12-10 11:52:40
4,VIS-0002,1,1,1,Lobby,2025-12-12 14:02:00
5,VIS-0002,1,2,1,Office A,2025-12-12 14:14:40
6,VIS-0002,1,3,1,Meeting Room 1,2025-12-12 14:27:20
7,VIS-0003,1,1,1,Lobby,2025-12-04 13:03:00
8,VIS-0003,1,2,1,Office A,2025-12-04 13:37:40
9,VIS-0003,1,3,1,Meeting Room 1,2025-12-04 14:12:20
10,VIS-0004,1,1,1,Lobby,2025-12-01 07:00:00
11,VIS-0004,1,2,1,Office A,2025-12-01 07:22:20
12,VIS-0004,1,3,1,Meeting Room 1,2025-12-01 07:44:40
13,VIS-0005,1,1,1,Lobby,2025-12-04 08:40:00
14,VIS-0005,1,2,1,Meeting Room 1,2025-12-04 09:26:00
15,VIS-0006,1,1,1,Lobby,2025-12-05 11:20:00
16,VIS-0006,1,2,3,Common Area,2025-12-05 12:05:20
17,VIS-0006,1,3,2,Meeting Room 2,2025-12-05 12:50:40
18,VIS-0007,1,1,1,Lobby,2025-12-19 11:24:00
19,VIS-0007,1,2,1,Meeting Room 1,2025-12-19 11:46:30
20,VIS-0008,1,1,1,Lobby,2025-12-11 10:49:00
21,VIS-0008,1,2,3,Meeting Room 3,2025-12-11 11:55:30
22,VIS-0009,1,1,1,Lobby,2025-12-04 09:34:00
23,VIS-0009,1,2,1,Conference Room,2025-12-04 09:56:30
24,VIS-0010,1,1,1,Lobby,2025-12-23 12:33:00
25,VIS-0010,1,2,1,Conference Room,2025-12-23 13:32:30
26,VIS-0011,1,1,1,Lobby,2025-12-05 13:12:00
27,VIS-0011,1,2,3,Meeting Room 3,2025-12-05 14:26:30
28,VIS-0012,1,1,1,Lobby,2025-12-17 12:52:00
29,VIS-0012,1,2,1,Conference Room,2025-12-17 13:36:00
30,VIS-0013,1,1,1,Lobby,2025-12-08 15:53:00
31,VIS-0013,1,2,1,Office A,2025-12-08 16:34:20
32,VIS-0013,1,3,1,Meeting Room 1,2025-12-08 17:15:40
33,VIS-0014,1,1,1,Lobby,2025-12-16 10:43:00
34,VIS-0014,1,2,1,Conference Room,2025-12-16 11:58:00
35,VIS-0015,1,1,1,Lobby,2025-12-19 09:00:00
36,VIS-0015,1,2,1,Meeting Room 1,2025-12-19 09:20:30
37,VIS-0016,1,1,1,Lobby,2025-12-25 10:08:00
